estado,Marque todas las plataformas,¿Cuál es la naturaleza legal,¿Cuáles son las temáticas,¿Cuáles son las fuentes de ingresos,¿El proyecto u organización periodística que refiere ha enfrentado
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok, Cuenta en X, Podcast, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Subvenciones o financiamiento internacional",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Mérida,Cuenta en Instagram,Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No ha enfrentado este tipo de situaciones
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Radio (AM o FM)",Estatal,"Arte y cultura local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Universidad ",Fondos gubernamentales,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Podcast, Portal web de noticias, Radio (AM o FM)",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Prefiere no responder"
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok",Privado,"Sucesos, seguridad y convivencia ciudadana",Contenidos puntuales patrocinados,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Estatal pero no gubernamental. Funciona bajo la autonomía universitaria ,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Fondos gubernamentales, Publicidad, Subvenciones o financiamiento internacional, Venta de productos y servicios",No ha enfrentado este tipo de situaciones
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en TikTok, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No ha enfrentado este tipo de situaciones
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Youtube",Privado,"Economía y desarrollo local, Gobierno y política local","Contenidos puntuales patrocinados, Subvenciones o financiamiento internacional","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Cuenta en Instagram, Cuenta en Facebook",Privado,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No ha enfrentado este tipo de situaciones
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Radio (AM o FM), TV (señal abierta o cable)",Privado,"Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Alianzas ","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Mérida,"Radio (AM o FM), Radio transmitida vía web",Comunitario,"Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Donaciones de empresas, Publicidad",No ha enfrentado este tipo de situaciones
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM)",Comunitario,"Arte y cultura local, Deporte local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Prefiere no responder
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Periodismo cara a cara, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en TikTok, Periódico (impreso), Periodismo cara a cara, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, Subvenciones o financiamiento internacional","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Mérida,"Cuenta en Instagram, Portal web de noticias",Privado,"Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Mérida,Radio (AM o FM),Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Mérida,"Cuenta en Instagram, Radio (AM o FM)",Privado,"Deporte local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Mérida,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable)",Privado,"Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Mérida,"Cuenta en Instagram, Radio (AM o FM)",Privado,"Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Mérida,"Cuenta en Instagram, Radio (AM o FM)",Privado,"Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Mérida,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, TV (señal abierta o cable)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
